accession_number,dataset_url,dataset_name,made_public,most_recent_snapshot,num_subjects,modalities,dx_status,ages,tasks,num_trials,study_design,domain_studied,longitudinal,processed_data,species,nondefaced_consent,affirmed_defaced,doi_of_papers_from_source_data_lab,doi_of_paper_published_using_openneuro_dataset,senior_author,size_gb
ds003602,https://openneuro.org/datasets/ds003602/versions/1.0.1,Childhood Sexual Abuse and problem drinking in women: Neurobehavioral mechanisms,2022-07-27,2022-07-27,118,EEG,,"26-34, 35-50",Experiment,,,,No,n/a,,No,Yes,,,"Anokhin, Andrey P.",73.21
ds003604,https://openneuro.org/datasets/ds003604/versions/1.0.7,"A longitudinal neuroimaging dataset on language processing in children ages 5, 7, and 9 years old",2021-04-16,2022-11-17,322,"MRI - func, MRI - dwi, MRI - anat",,,"Grammaticality Task, Sound Task, Plausability Task, Meaning Task",,,,No,n/a,,Yes,Yes,,,"Booth, James R.",678.67
ds003606,https://openneuro.org/datasets/ds003606/versions/1.0.0,Differences in Chemo-signaling Compound-Evoked Brain Activity in Male and Female Young Adults: A Pilot Study in the Role of Sexual Dimorphism in Olfactory Chemo-Signaling,2021-04-10,2021-04-09,29,"MRI - func, MRI - anat",,,PheromoneOlfaction,,,,No,n/a,,No,Yes,,,"Wisco, Jonathan J.",29.61
ds003612,https://openneuro.org/datasets/ds003612/versions/1.0.4,TODO: name of the dataset,2021-04-16,2024-11-30,51,"MRI - func, MRI - anat",,"18-25, 26-34","imagery, execution",,,,No,n/a,,No,Yes,,,"Wriessnegger, Selina",31.68
ds003620,https://openneuro.org/datasets/ds003620/versions/1.1.1,Runabout: A mobile EEG study of auditory oddball processing in laboratory and real-world conditions,2021-04-20,2021-11-09,44,EEG,,"18-25, 26-34, 35-50",Oddball,,Within-subject,Attention,No,n/a,Human,No,Yes,https://doi.org/10.1101/2021.05.27.445993,https://www.nature.com/articles/s41598-021-01772-8,"Bornkessel-Schlesewsky, Ina",17.04
ds003626,https://openneuro.org/datasets/ds003626/versions/2.1.2,Inner Speech,2021-04-17,2022-03-14,10,EEG,Healthy / Control,,,5640,,Inner Speech,No,n/a,Human,Yes,Yes,,https://doi.org/10.1101/2021.04.19.440473 ,"Spies, Ruben",18.28
ds003633,https://openneuro.org/datasets/ds003633/versions/1.0.4, ForrestGump-MEG,2021-05-16,2022-12-29,11,"MRI - anat, MEG",,18-25,"movie, noise",,,,No,Yes,,Yes,Yes,,,"Zhen, Zonglei",73.51
ds003638,https://openneuro.org/datasets/ds003638/versions/1.0.0,"EEG: Electrophysiological biomarkers of behavioral dimensions 
from cross-species paradigms",2021-09-17,2021-08-25,57,EEG,Healthy / Control,"18-25, 26-34, 35-50",5CCPTPSTPRBP,,,cognitive control reinforcement learning effort,No,n/a,Human,No,Yes,,TDB,"Young, Jared",15.27
ds003639,https://openneuro.org/datasets/ds003639/versions/1.0.0,In-scanner head motion and structural covariance networks,2021-04-30,2021-04-27,29,MRI - anat,Healthy / Control,"18-25, 26-34, 35-50, 51-65, 66+",,,,,No,n/a,Human,No,Yes,,,"Martin, Samantha P",0.6
ds003642,https://openneuro.org/datasets/ds003642/versions/1.1.0,CEREBRUM-7T: Fast and Fully-volumetric Brain Segmentation of 7 Tesla MR Volumes,2021-04-27,2021-04-27,3,MRI - anat,,,,,anatomical acquisition,MRI segmentation,No,n/a,Human,No,Yes,https://doi.org/10.1101/2020.07.07.191536,,"Muckli, Lars",0.1
ds003643,https://openneuro.org/datasets/ds003643/versions/2.0.5,Le Petit Prince: A multilingual fMRI corpus using ecological stimuli,2021-05-26,2024-01-29,112,"MRI - func, MRI - anat",,,"lppCN, lppEN, lppFR",,,,No,n/a,,No,Yes,,,"Pallier, Christophe",145.36
ds003645,https://openneuro.org/datasets/ds003645/versions/2.0.2,Face processing MEEG dataset with HED annotation,2021-05-20,2023-04-14,18,"MRI - anat, EEG, MEG",,"18-25, 26-34, 35-50",FacePerception,,,,No,n/a,,No,Yes,,,"(curation), Arno Delorme",106.32
ds003646,https://openneuro.org/datasets/ds003646/versions/1.0.0,An isotropic EPI database for rat brain resting-state fMRI,2021-08-06,2021-08-06,77,MRI - func,Healthy / Control,,rest,,resting-state fMRI,animal resting state,No,n/a,Rat,Yes,Yes,,,"Shih, Yen-Yu Ian",15.72
ds003647,https://openneuro.org/datasets/ds003647/versions/1.0.0,Deciphering the scopolamine rat model by preclinical functional MRI,2021-05-07,2021-05-06,34,"MRI - func, MRI - anat",Healthy / Control,,"rest, whiskerasl, whiskerepi",,"cross-over, drug effect","scopolamine, sensory response",Yes,n/a,rat,No,Yes,,10.1101/2020.04.08.031534,"Somogyi, Gergely",10.83
ds003653,https://openneuro.org/datasets/ds003653/versions/1.0.0,Cortical myelin measured by the T1w/T2w ratio in individuals with depressive disorders and healthy controls ,2021-07-02,2021-07-02,87,MRI - anat,,"18-25, 26-34, 35-50",,,,,No,n/a,,Yes,Yes,,,"Yaroslav O. Halchenko, Ph.D.",4.42
ds003655,https://openneuro.org/datasets/ds003655/versions/1.0.2,VerbalWorkingMemory,2021-05-20,2023-05-31,156,EEG,,,VerbalWorkingMemory,,,,No,n/a,Human,No,Yes,,,"Pavlov, Yuri G.",20.26
ds003659,https://openneuro.org/datasets/ds003659/versions/2.0.4,ScanTrain,2022-10-13,2023-03-21,3,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","fractalWM, learningcriterion, localizer, rest, learningblock, fractalWMSR, learningblockSR, localizerSR",,longitudinal study,"learning, working memory, long-term memory, resting state",Yes,n/a,Human,No,Yes,,,"D'Esposito, Mark",73.29
ds003661,https://openneuro.org/datasets/ds003661/versions/1.0.0,Sharpening of Hierarchical Visual Feature Representations of Blurred Images,2021-08-02,2021-08-02,5,"MRI - func, MRI - anat",,,"testCategory, testNoCategory, training",,,,No,n/a,,Yes,Yes,,,"Kamitani, Yukiyasu",20.55
ds003669,https://openneuro.org/datasets/ds003669/versions/1.0.0,Confidence in Detection and Discrimination,2021-05-29,2021-05-29,47,"MRI - func, MRI - anat",Healthy / Control,,visual detection and discrimination,400,Event related design,Perceptual metacognition,No,n/a,Human,No,Yes,10.7554/eLife.53900,"Mazor, M., Friston, K. J., & Fleming, S. M. (2020). Distinct neural contributions to metacognition for detecting, but not discriminating visual stimuli. ELife, 9, e53900.","Fleming, Stephen M.",16.56
ds003670,https://openneuro.org/datasets/ds003670/versions/1.1.0,"Dataset of Concurrent EEG, ECG, and Behavior with Multiple Doses of transcranial Electrical Stimulation - BIDS",2021-07-10,2021-06-17,25,EEG,,"18-25, 26-34, 35-50",GXtESCTT,,,,No,n/a,,No,Yes,,,"Bikson, Marom",72.22
ds003673,https://openneuro.org/datasets/ds003673/versions/2.0.1,Yale Resting State fMRI/Pupillometry: Arousal Study,2021-08-21,2022-08-01,27,"MRI - func, MRI - anat",Healthy / Control,,Rest,,Resting State,,No,n/a,Human,No,Yes,,,"Constable, Todd R",29.76
ds003682,https://openneuro.org/datasets/ds003682/versions/1.0.0,Model-based aversive learning in humans is supported by preferential task state reactivation,2021-06-05,2021-06-05,28,MEG,,,AversiveLearningReplay,120,,Aversive learning,No,n/a,Human,No,Yes,,,"Dolan, Raymond J.",211.62
ds003684,https://openneuro.org/datasets/ds003684/versions/1.0.0,Finger sequence planning,2021-11-04,2021-06-08,22,"T1map, T1w, bold, events, sbref, fieldmap",,"18-25, 26-34","dsp, TODO: full task name for dsp",,,,No,n/a,,Yes,Yes,,,"Diedrichsen, Jörn",35.52
ds003688,https://openneuro.org/datasets/ds003688/versions/1.0.7,Open multimodal iEEG-fMRI dataset from naturalistic stimulation with a short audiovisual film,2021-06-13,2022-06-18,63,"MRI - anat, MRI - func, iEEG",Intracranial data,"0-10, 11-17, 18-25, 26-34, 35-50, 51-65","film, rest",,Block design: speech and music,"Language, speech, auditory and visual perception",No,n/a,Human,No,Yes,,,"Ramsey, Nick F.",15.21
ds003690,https://openneuro.org/datasets/ds003690/versions/1.0.0,"EEG, ECG and pupil data from young and older adults: rest and auditory cued reaction time tasks",2021-06-10,2021-06-10,75,EEG,,"18-25, 26-34, 51-65, 66+","gonogo, passive, simpleRT",120,,,No,n/a,Human,No,Yes,10.1016/j.neurobiolaging.2018.09.028,"Ribeiro M.J. and Castelo-Branco M. 2019 Age-related differences in event-related potentials and pupillary responses in cued reaction time tasks. Neurobiology of Aging. Vol. 73: 177-189 PMID: 30366291 DOI: 10.1016/j.neurobiolaging.2018.09.028. Neural correlates of anticipatory cardiac deceleration and its association with the speed of perceptual decision-making, in young and older adults. Neuroimage. Jun 5;199:521-533. PMID: 31173904 DOI: 10.1016/j.neuroimage.2019.06.004.       Maria Ribeiro Miguel Castelo-Branco   (2022) Slow fluctuations in ongoing brain activity decrease in amplitude with ageing yet their impact on task-related evoked responses is dissociable from behavior eLife 11:e75722. https://doi.org/10.7554/eLife.75722 ","Castelo-Branco, Miguel",21.46
ds003691,https://openneuro.org/datasets/ds003691/versions/1.0.0,"FeedBES - FeedBack signals from Episodic and Semantic memories.
",2023-03-24,2021-06-10,29,"T1w, bold, events, fieldmap",Other,"18-25, 26-34","feedBES, bars, tarmap, sensoryT, retmap, TODO: full task name for bars, TODO: full task name for feedBES, TODO: full task name for ecc, TODO: full task name for polar, TODO: full task name for retmap, TODO: full task name for sensoryT, TODO: full task name for tarmap",,,Vision / Memory,No,n/a,Human,No,Yes,https://osf.io/va6fc,,"Shing, Yee Lee",115.47
ds003694,https://openneuro.org/datasets/ds003694/versions/1.0.0,MEGMEM,2021-07-13,2021-06-14,28,MEG,,,MEM,,,,No,n/a,,No,Yes,https://doi.org/10.1101/2020.01.22.915330,,"Hanslmayr, Simon",218.47
ds003696,https://openneuro.org/datasets/ds003696/versions/1.0.0,Action-related object pairs - fMRI dataset,2022-04-13,2021-06-16,30,"bold, events, T1w",,"18-25, 26-34",affordance,,,,No,n/a,Human,No,Yes,,,"Heinke, Dietmar",8.62
ds003701,https://openneuro.org/datasets/ds003701/versions/1.0.1,Concrete Permuted Rule Operations,2021-06-22,2021-06-24,96,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50","cpro, rest",,,,No,n/a,,Yes,Yes,,,"Cole, Michael W.",418.4
ds003702,https://openneuro.org/datasets/ds003702/versions/1.0.2,Social Memory cuing,2021-06-15,2024-09-17,47,EEG,,,Social Memory cuing,,,,No,Yes,Human,No,Yes,,,"Kessler, Klaus",17.49
ds003703,https://openneuro.org/datasets/ds003703/versions/1.0.0,Frequency Tagging of Syntactic Structure or Lexical Properties,2021-06-23,2021-06-23,34,MEG,,"18-25, 26-34, 35-50","listeningToSpeech, rest",48,Within-subject,Syntax,No,n/a,Human,No,Yes,,,"Kazanina, Nina",92.35
ds003707,https://openneuro.org/datasets/ds003707/versions/1.0.0,Abrupt hippocampal remapping signals resolution of memory interference.,2021-06-25,2021-06-25,36,"MRI - func, MRI - anat",Healthy / Control,,"objects old new identification, scenes old new identification",,,Episodic Memory,No,n/a,Human,No,Yes,,,"Kuhl, Brice A.",80.22
ds003708,https://openneuro.org/datasets/ds003708/versions/1.0.4,Basis profile curve identification to understand electrical stimulation effects in human brain networks,2021-06-23,2023-08-10,1,iEEG,Other,,rest,495,Single subject,connectivity,No,Yes,Human,No,Yes,https://doi.org/10.1101/2021.01.24.428020,https://doi.org/10.1101/2021.01.24.428020,"Clinic, Multimodal Neuroimaging Laboratory at Mayo",0.61
ds003709,https://openneuro.org/datasets/ds003709/versions/1.0.0,NIMH-CompyPsych MMI,2021-06-28,2021-06-28,51,"MRI - func, MRI - anat",,"11-17, 18-25",MMI,,,,No,n/a,,Yes,Yes,,,"Stringaris, Argyris",6.6
ds003710,https://openneuro.org/datasets/ds003710/versions/1.0.2,APPLESEED Example Dataset,2021-07-12,2022-10-20,13,EEG,Healthy / Control,,APPLESEED example,,,,Yes,n/a,Human,No,Yes,https://doi.org/10.1186/s12916-020-01683-x,,"Puglia, Meghan H.",10.18
ds003711,https://openneuro.org/datasets/ds003711/versions/1.0.0,The Contributionsof Eye Gaze Fixations and Target-Lure Similarity to Behavioral and fMRI Indices of Pattern Separation and Pattern Completion,2021-07-02,2021-07-02,35,"MRI - func, MRI - anat",,"18-25, 26-34",MST,,,,No,n/a,Human,No,Yes,,,"Kirwan, C. Brock",29.26
ds003714,https://openneuro.org/datasets/ds003714/versions/1.0.1,Test,2021-07-01,2021-07-01,1,"MRI - anat, MRI - func",,,meditation,,,,No,n/a,,No,Yes,,,"Chowdhury, Avijit",1.13
ds003715,https://openneuro.org/datasets/ds003715/versions/1.0.0,Visual and auditory brain areas share a representational structure that supports emotion perception: fMRI data,2021-09-16,2021-07-02,20,"T1w, bold, events",,,viewing,,Event-related,,No,n/a,Human,No,Yes,,,"Wheatley, Thalia",45.13
ds003716,https://openneuro.org/datasets/ds003716/versions/1.0.0,Subcortical DMN functional connectivity,2021-07-13,2021-07-03,1,MRI - anat,Healthy / Control,,,,,,No,n/a,Human,No,Yes,,,"L., Edlow B.",0.07
ds003717,https://openneuro.org/datasets/ds003717/versions/1.1.0,Visual and audiovisual speech perception associated with increased functional connectivity between sensory and motor regions,2021-10-15,2023-08-15,60,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","SESS01, SESS02, SESS03, SESS04, SESS05, SESS06",,,audiovisual speech,No,n/a,Human,No,Yes,,,"N, Tye-Murray",59.99
ds003720,https://openneuro.org/datasets/ds003720/versions/1.0.1,Music Genre fMRI Dataset,2021-08-11,2023-08-23,5,"MRI - func, MRI - anat",Healthy / Control,,"Test, Training",540,Small-N design,Auditory Neuroscience,No,n/a,Human,No,Yes,https://doi.org/10.1002/brb3.1936,"Nakai, Koide-Majima, and Nishimoto (2021). Correspondence of categorical and feature-based representations of music in the human brain. Brain and Behavior. 11(1), e01936.","Nishimoto, Shinji",43.33
ds003721,https://openneuro.org/datasets/ds003721/versions/1.0.1,"Visser, Henson, Holmes. A naturalistic paradigm to investigate post-encoding neural activation patterns in relation to subsequent voluntary and intrusive recall of distressing events",2021-08-17,2022-08-15,35,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50","BI, Film, React",16,"experimental, multi-session, naturalistic stimuli",Emotional memory,No,n/a,Human,No,Yes,,,"Holmes, Emily A",102.53
ds003739,https://openneuro.org/datasets/ds003739/versions/1.0.3,Perturbed beam-walking task,2021-07-23,2021-11-26,30,EEG,Healthy / Control,"18-25, 26-34",mixed,600,Event-related,Sensorimotor perturbations,No,n/a,Human,No,Yes,10.1523/ENEURO.0207-18.2018,,"Ferris, Daniel",10.94
ds003745,https://openneuro.org/datasets/ds003745/versions/2.1.1,Social Reward Processing and Decision Making in Younger and Older Adults,2021-07-27,2024-01-07,50,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 51-65, 66+","sharedreward, trust, ultimatum",,,,No,Yes,Human,No,Yes,https://doi.org/10.1101/2021.07.29.454071,,"Fareri, Dominic S.",19.27
ds003751,https://openneuro.org/datasets/ds003751/versions/1.0.6,Dataset on Emotion with Naturalistic Stimuli,2021-08-08,2023-07-08,40,EEG,Healthy / Control,"18-25, 26-34",Emotion,,Single-trial,Emotion,No,n/a,Human,No,Yes,"https://doi.org/10.3390/brainsci12060702, https://doi.org/10.3390/brainsci12081106, 10.1109/ACCESS.2023.3266804","https://doi.org/10.3390/brainsci12060702, https://doi.org/10.3390/brainsci12081106, 10.1109/ACCESS.2023.3266804","Srinivasan, Narayanan",4.71
ds003752,https://openneuro.org/datasets/ds003752/versions/1.0.0,LFContrast,2021-07-30,2021-07-30,3,"MRI - func, MRI - anat",Healthy / Control,,LFContrast,,,Color Vision,No,n/a,Human,No,Yes,https://doi.org/10.1101/2020.12.03.410506 ,,"brainard, david",50.71
ds003753,https://openneuro.org/datasets/ds003753/versions/1.1.0,Probabilistic Learning with Affective Feedback: Exp #2,2021-09-29,2021-09-27,25,EEG,Healthy / Control,"18-25, 26-34",ProbabilisticSelection,,Reinforcement Learning,Reinforcement Learning,No,n/a,Human,No,Yes,,pending,"Cavanagh, James F",4.62
ds003758,https://openneuro.org/datasets/ds003758/versions/1.0.2,Dynamic representation of the subjective value of information,2021-08-17,2021-08-17,15,"MRI - func, MRI - anat",,"18-25, 26-34",beads,,,,No,n/a,Human,No,Yes,,,"Nassar, Matthew R.",15.94
ds003763,https://openneuro.org/datasets/ds003763/versions/1.0.5,Interoception during aging: The heartbeat detection task,2021-08-12,2022-03-23,62,"MRI - func, MRI - anat",,,heart,,,interoception,No,n/a,Human,No,Yes,,,"Krotenkova, Marina V.",2.56
ds003764,https://openneuro.org/datasets/ds003764/versions/1.0.5,Neural dynamics underlying the acquisition of distinct auditory category structures,2021-08-10,2023-02-15,60,"MRI - func, MRI - anat",Healthy / Control,,categorization,240,within-subject,Auditory Category Learning,No,n/a,Human,No,Yes,https://doi.org/10.1101/2021.01.25.428107,,"Feng, Gangyi",13.64
ds003766,https://openneuro.org/datasets/ds003766/versions/2.0.3,HD-EEG task with mouse tracking,2021-08-19,2024-01-20,60,"MRI - func, MRI - anat",,,categorization,,,,No,n/a,Human,No,Yes,,,"Wu, Haiyan",
ds003768,https://openneuro.org/datasets/ds003768/versions/1.0.11,Simultaneous EEG and fMRI signals during sleep from humans,2021-08-17,2023-09-11,33,"MRI - func, MRI - anat, EEG",,,"rest, sleep",,,Human sleep,No,n/a,Human,No,Yes,,,"Liu, Xiao",86.56
ds003770,https://openneuro.org/datasets/ds003770/versions/1.2.1,Depression Treatment by Medial Prefrontal Real-Time fMRI Neurofeedback,2021-08-20,2023-06-30,8,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",rt-fmri regulation of medial prefrontal cortex,,,fmri,No,n/a,Human,No,Yes,10.1007/s00406-022-01462-0,,"ED, Petrovskii",13.92
ds003772,https://openneuro.org/datasets/ds003772/versions/1.0.1,Functionally dissociable influences on learning rate in a dynamic environment,2021-08-20,2021-08-20,32,"MRI - func, MRI - anat",,"18-25, 26-34",change-point helicopter fmri,,,,No,n/a,,Yes,Yes,,,"Kable, Joseph W.",6.41
ds003774,https://openneuro.org/datasets/ds003774/versions/1.0.2,Music Listening- Genre EEG dataset (MUSIN-G),2021-08-24,2022-08-25,20,EEG,,,MusicListening,,20 Participants listened to 12 songs from different Genres,Music,No,n/a,Human,No,Yes,,,"Lomas, Derek",10.12
ds003775,https://openneuro.org/datasets/ds003775/versions/1.2.1,SRM Resting-state EEG,2021-08-25,2022-11-23,111,EEG,Healthy / Control,"11-17, 18-25, 26-34, 35-50, 51-65, 66+",resteyesc,,,"EEG, resting-state",No,n/a,Human,No,Yes,http://dx.doi.org/10.1111/ejn.14964,,"Andersson, Stein",4.49
ds003777,https://openneuro.org/datasets/ds003777/versions/1.0.1,bids_dataset,2021-09-14,2021-10-26,4,"MRI - func, MRI - anat",,,"locAPSTARC, locAPSTARCtsm, locAPcovSoS, locPASoS5vol, locAPSTARCps",,,MRI methodology applied to fMRI,No,n/a,Human,No,Yes,,,"Boulant, Nicolas",21.79
ds003778,https://openneuro.org/datasets/ds003778/versions/1.0.0,Adaptive memory distortions are predicted by feature representations in parietal cortex,2021-08-30,2021-08-25,32,"MRI - func, MRI - anat",,,"perception, retrieval",,,Memory,No,n/a,Human,No,Yes,https://doi.org/10.1523/JNEUROSCI.2875-20.2021,Adaptive memory distortions are predicted by feature representations in parietal cortex,"Kuhl, Brice",96.07
ds003782,https://openneuro.org/datasets/ds003782/versions/1.0.1,Neural Correlates of Effort-Based Valuation Under Risk,2021-08-30,2023-09-14,40,"MRI - func, MRI - anat",,,"probeeffortmixedgambles, efforttraining, probabilitymixedgambles",,,Value based decision making,No,n/a,Human,No,Yes,10.1016/j.neuroimage.2018.10.051,"Aridan, N., Malecek, N. J., Poldrack, R. A., & Schonberg, T. (2019). Neural correlates of effort-based valuation with prospectivAridan, N., Malecek, N. J., Poldrack, R. A., & Schonberg, T. (2019). Neural correlates of effort-based valuation with prospective choices. Neuroimage, 185, 446-454.‏e choices. Neuroimage, 185, 446-454.‏","Schonberg, Tom",97.35
ds003787,https://openneuro.org/datasets/ds003787/versions/1.0.1,"NYU Retinotopy Dataset

",2021-09-28,2021-09-27,44,"MRI - func, MRI - anat",,"18-25, 26-34, 35-50",prf,,Computational model,Cortical vision,No,n/a,Human,Yes,Yes,,,"Winawer, Jon",69.63
ds003789,https://openneuro.org/datasets/ds003789/versions/2.0.0,visual memory,2022-07-08,2023-07-14,32,"MRI - func, MRI - anat",,18-25,"encoding, retrieval",,,,No,n/a,,No,Yes,,,"Zhu, Bi",12.89
ds003791,https://openneuro.org/datasets/ds003791/versions/1.0.0,Sniffing the Human Body-Volatile Hexadecanal Blocks Aggression in Men but Triggers Aggression in Women,2021-09-05,2021-08-25,49,"MRI - func, MRI - anat",Healthy / Control,,PSAP,,within subject event related,"aggression, cognition, social chemosignals",No,n/a,Human,No,Yes,,,"Sobel, Noam",36.85
ds003798,https://openneuro.org/datasets/ds003798/versions/1.0.5,Caltech Conte Core MRI,2022-01-14,2021-12-10,117,"MRI - func, MRI - anat",,,"rest, bang, pixar",,,,No,n/a,,Yes,Yes,,,"authorship, * Joint senior",100.05
ds003799,https://openneuro.org/datasets/ds003799/versions/2.0.0,MRI Lab Graz: A Two-Week Running Intervention Reduces Symptoms Related to Depression and Increases Hippocampal Volume in Young Adults,2021-09-08,2021-11-16,48,MRI - anat,,"18-25, 26-34",,,,,Yes,n/a,Human,No,Yes,,,"Papousek, Ilona",2.04
ds003800,https://openneuro.org/datasets/ds003800/versions/1.0.0,Auditory Gamma Entrainment,2021-09-28,2021-09-27,13,EEG,Dementia,,"AuditoryGammaEntrainment, Rest",6,,Gamma Entrainment,No,n/a,Human,No,Yes,,Gamma Entrainment Improves Synchronization Deficits Caused by Dementia,"Vahabi, Zahra",0.18
ds003801,https://openneuro.org/datasets/ds003801/versions/1.0.0,Neural Tracking to go,2021-11-15,2021-11-09,20,EEG,,"18-25, 26-34, 35-50",NeuralTrackingToGo,6,Participants were presented with a two-competing speaker paradigm. Salient environmental sound occurred infrequently. During presentation of the auditory scene participants eother walked a pre-determined indoor route (50% of trials) or sat on a chair. ,Auditory Attention,No,n/a,Human,No,Yes,,,"Mirkovic, Bojana",1.15
ds003805,https://openneuro.org/datasets/ds003805/versions/1.0.0,Multisensory Gamma Entrainment,2021-09-28,2021-09-27,1,EEG,Healthy / Control,,MultisensoryGammaEntrainment,,,Gamma Entrainment,No,n/a,Human,No,Yes,,Gamma Entrainment Improves Synchronization Deficits Caused by Dementia,"Aghajan, Hamid",0.01
ds003810,https://openneuro.org/datasets/ds003810/versions/2.0.2,Motor Imagery vs Rest - Low-Cost EEG System,2021-09-20,2021-11-09,10,EEG,Healthy / Control,"18-25, 26-34","MIvsRestRUN2, MIvsRestRUN3, MIvsRestRUN0, MIvsRestRUN1, MIvsRestRUN4",1,,,No,n/a,Human,No,Yes,https://doi.org/10.1016/j.heliyon.2020.e03425,https://doi.org/10.1016/j.heliyon.2020.e03425,"Spies, Ruben",0.07
ds003812,https://openneuro.org/datasets/ds003812/versions/2.0.0,spatial_frequency_preferences,2021-09-22,2024-09-27,12,MRI - func,,"18-25, 26-34, 35-50",sfprescaled,,,,No,Yes,,Yes,Yes,,,"Simoncelli, Eero P.",40.54
ds003814,https://openneuro.org/datasets/ds003814/versions/1.0.0,Parallel systems for social and spatial reasoning,2024-06-14,2022-07-22,10,"MRI - func, MRI - anat",Healthy / Control,"26-34, 35-50","dyloc, famepisodic, famsemantic, famvisual, langloc, rest, tomloc2",,,Social and Spatial Cognition,No,n/a,Human,No,Yes,,,"Freiwald, Winrich",186.87
ds003816,https://openneuro.org/datasets/ds003816/versions/1.0.2,Loving Kindness Meditation for Mental Health: long-term and short-term effect,2021-09-25,2023-10-02,0,,Healthy / Control,,,,This study was designed to investigate the long term and short term training effect of loving kindness meditation,"Meditation, EEG, Neuroimage ",Yes,n/a,Human,No,Yes,,,"Khemasiri), Ven. GoonFui Wong (Bhikkhu",0.0
ds003822,https://openneuro.org/datasets/ds003822/versions/1.1.0,Probabilistic Learning with Affective Feedback: Exp #1,2021-09-29,2021-09-27,25,EEG,Healthy / Control,"18-25, 26-34, 35-50",ProbabilisticSelection,,Reinforcement Learning with Affective Feedback,Reinforcement Learning,No,n/a,Human,No,Yes,pending,pending,"Cavanagh, James F",5.82
ds003823,https://openneuro.org/datasets/ds003823/versions/1.3.3,Heart rate variability biofeedback training and emotion regulation,2022-04-28,2023-04-04,177,"MRI - func, MRI - anat",Healthy / Control,,,,pre vs. post intervention X 2 HRV biofeedback conditions,heart rate variability biofeedback and emotion regulaton,Yes,Yes,Human,No,Yes,doi: https://doi.org/10.1101/2021.09.20.461138 ,,"Mather, Mara",85.18
ds003825,https://openneuro.org/datasets/ds003825/versions/1.2.0,"Human electroencephalography recordings from 50 subjects for 22,248 images from 1,854 object concepts",2021-10-01,2022-10-10,50,EEG,,"11-17, 18-25, 26-34",rsvp,,,,No,n/a,,Yes,Yes,,,"Carlson, Thomas",41.22
ds003826,https://openneuro.org/datasets/ds003826/versions/3.0.1,Structural (t1) images of 113 young healthy adults; study of effects of chronotype on brain structure,2021-10-01,2022-03-30,136,MRI - anat,Healthy / Control,"18-25, 26-34, 35-50",,,,structural,No,n/a,Human,No,Yes,10.21203/rs.3.rs-588446/v1,preprint: https://www.researchsquare.com/article/rs-588446/v1,"Domagalik, Aleksandra",1.18
ds003830,https://openneuro.org/datasets/ds003830/versions/1.0.0,resting state fMRI of 17 idiopathic epileptic dogs and 20 healthy control dogs,2021-10-03,2021-09-27,37,"MRI - func, MRI - anat",Epilepsy,,resting,,,,No,n/a,canine,No,Yes,,,"Haller, Sven",8.48
ds003831,https://openneuro.org/datasets/ds003831/versions/1.0.0,Cognitive Control Theoretic Mechanisms of Real-time fMRI-Guided Neuromodulation (CTM),2022-03-03,2021-11-09,74,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34, 35-50, 51-65","identify, modulate, rest",,,Emotion Regulation,No,n/a,Human,No,Yes,,https://doi.org/10.1101/2020.09.08.283671,"Bush, Keith A.",30.11
ds003834,https://openneuro.org/datasets/ds003834/versions/1.0.2,Shared neural codes for visual and semantic information about familiar faces in a common representational space,2021-10-27,2021-11-04,14,"MRI - func, MRI - anat",,"18-25, 26-34","fam1back, str1back, localizer",,,,No,n/a,,Yes,Yes,,,"Gobbini, M. Ida",34.78
ds003835,https://openneuro.org/datasets/ds003835/versions/1.0.2,PE-Update,2021-10-26,2021-11-17,24,"MRI - func, MRI - anat",Healthy / Control,"18-25, 26-34","rest, videos",70,"24 participants viewed 70 narrative videos, each featuring a distinctive action-outcome event (e.g., a baseball batter hitting a home run, a woman crashing her car). The next day, participants watched the videos again while undergoing fMRI. Half of the videos were interrupted at the critical moment (e.g., while the baseball batter is mid-swing, immediately before the car crash impact) to elicit a feeling of surprise.  ",Memory,No,n/a,Human,No,Yes,https://doi.org/10.1101/2020.09.29.319418,https://doi.org/10.1101/2020.09.29.319418,"Barense, Morgan D",12.83
ds003836,https://openneuro.org/datasets/ds003836/versions/1.0.0,Learning the statistics of pain,2022-08-30,2022-08-16,35,"MRI - func, MRI - anat",Healthy / Control,,tsl,1300,,"pain, statistical learning",No,n/a,Human,No,Yes,accepted in Nature Comms,,"Seymour, Ben",15.42
ds003838,https://openneuro.org/datasets/ds003838/versions/1.0.6,"EEG, pupillometry, ECG and photoplethysmography, and behavioral data in the digit span task",2021-10-19,2024-02-11,65,EEG,,"18-25, 35-50",mixed,,,,No,n/a,,No,Yes,,,"Kotyusov, Alexander I.",100.21
ds003844,https://openneuro.org/datasets/ds003844/versions/1.0.3,RESPect,2021-10-16,2021-10-26,6,iEEG,,,task-acute,,,,No,n/a,,No,Yes,,,"M., Zijlmans",2.6
